Session;Instrument;Reference price;Last price;+Intraday high;+ Intraday low;Number of shares traded;Capitalisation
01/10/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
30/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
27/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
26/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
25/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
24/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
23/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
20/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
19/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
18/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
17/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
16/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
13/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
12/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
11/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
10/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
09/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
06/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
05/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
04/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
03/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
02/09/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
30/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
29/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
28/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
27/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
26/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
23/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
22/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
19/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
16/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
15/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
09/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
08/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
07/08/2019;ZELLIDJA S.A;0,00;158,80;-;-;0;90968421,20
